Date,beta_1,beta_2,beta_3,beta_4,beta_5,SP500
04-Apr-1996,0.001378941,0.039579991,0.004387015,0.002244612,0.002379682,0.013861464
08-Apr-1996,0.001339712,0.044497715,0.00393918,0.002050504,0.002163722,0.01401579
09-Apr-1996,0.001344393,0.08681605,0.003728248,0.002270958,0.00208159,0.028743883
10-Apr-1996,0.001236731,0.069191695,0.003357658,0.002049231,0.001889796,0.029431756
11-Apr-1996,0.001273957,0.160206017,0.003039297,0.001909455,0.001721888,0.041453112
12-Apr-1996,0.001588815,0.127023919,0.002815315,0.002619995,0.001570764,0.041770406
15-Apr-1996,0.001421678,0.089385092,0.002557659,0.002346949,0.001438581,0.030957381
16-Apr-1996,0.001274606,0.068376894,0.002343525,0.002124483,0.001377153,0.022556965
17-Apr-1996,0.001460011,0.062178066,0.002163832,0.002013393,0.00126274,0.018962691
18-Apr-1996,0.001307664,0.067533257,0.001977835,0.00185278,0.001162083,0.02213983
19-Apr-1996,0.0011925,0.058117974,0.001871697,0.001767416,0.00113127,0.01910116
22-Apr-1996,0.001083849,0.042861861,0.001884864,0.001665952,0.00104967,0.016818677
23-Apr-1996,0.001140326,0.039916433,0.00200144,0.001804793,0.000985426,0.013884786
24-Apr-1996,0.001025485,0.034207999,0.002095549,0.001665435,0.000976949,0.011045968
25-Apr-1996,0.000971213,0.038095687,0.00251485,0.001541983,0.001034795,0.012374268
26-Apr-1996,0.000906254,0.035531962,0.002343017,0.001552861,0.000967135,0.010494094
29-Apr-1996,0.000846924,0.033425904,0.002181596,0.00144647,0.000981936,0.010320636
30-Apr-1996,0.000995624,0.049281064,0.002704598,0.001353767,0.000931872,0.010270804
01-may-96,0.001237201,0.065792042,0.002511236,0.001313986,0.000899151,0.010815933
02-may-96,0.001155827,0.070236836,0.002547324,0.001242739,0.000902626,0.011037864
03-may-96,0.001376164,0.102129395,0.00231614,0.001808599,0.000862697,0.024364626
06-may-96,0.00144273,0.073208508,0.002154163,0.001654301,0.001071534,0.024865088
07-may-96,0.00134498,0.068178104,0.002054582,0.001533847,0.00099652,0.02426997
08-may-96,0.001220669,0.067777791,0.001977627,0.001818393,0.001067898,0.02592229
09-may-96,0.001213708,0.055355391,0.002408682,0.001878243,0.001140115,0.018137004
10-may-96,0.001187648,0.068522774,0.002288751,0.001713012,0.001055748,0.017057663
13-may-96,0.001072198,0.05023035,0.002378097,0.001606128,0.001028956,0.0118636
14-may-96,0.001133556,0.045106623,0.002363211,0.001509948,0.001018934,0.00782435
15-may-96,0.001206981,0.044614823,0.002153394,0.001542192,0.000995878,0.006599731
16-may-96,0.00108042,0.050363221,0.001993701,0.001458222,0.000933347,0.007714881
17-may-96,0.001012796,0.052956677,0.001845235,0.001358614,0.000872342,0.008941059
20-may-96,0.00092625,0.043327902,0.001862787,0.001839871,0.000908778,0.007405258
21-may-96,0.00114366,0.056654014,0.001737911,0.001962282,0.000887393,0.006434598
22-may-96,0.0010523,0.06144394,0.001869976,0.002099856,0.00190585,0.007830756
23-may-96,0.001023279,0.050570902,0.001772229,0.002381307,0.001820838,0.006269017
24-may-96,0.001097851,0.054156442,0.001641231,0.002316076,0.001653012,0.008939985
28-may-96,0.001119984,0.042887468,0.00157078,0.002169519,0.001569377,0.008213035
29-may-96,0.00121759,0.079351355,0.00155871,0.002672401,0.00152654,0.014405412
30-may-96,0.002034689,0.068012284,0.002310444,0.002395282,0.001459115,0.018692284
31-may-96,0.001885672,0.049353498,0.00213654,0.002200531,0.001340751,0.014912648
03-jun-96,0.001786331,0.05981928,0.0033744,0.001983963,0.001442564,0.017224847
04-jun-96,0.001583669,0.069829965,0.004256452,0.002103862,0.001371098,0.018295537
05-jun-96,0.001378386,0.058447715,0.004275482,0.002002168,0.001259882,0.014042453
06-jun-96,0.001325681,0.054192813,0.003845597,0.001929514,0.001248291,0.010512737
07-jun-96,0.001304536,0.077511952,0.003513988,0.001769481,0.001185567,0.016001342
10-jun-96,0.002022996,0.055643175,0.003222331,0.001755498,0.001120768,0.015490217
11-jun-96,0.001868892,0.076231831,0.003572808,0.001902682,0.001246456,0.016553323
12-jun-96,0.001618124,0.066251705,0.003296543,0.001973371,0.001623943,0.017445411
13-jun-96,0.001418907,0.069661179,0.003086155,0.00193858,0.001708252,0.019077998
14-jun-96,0.001290224,0.073563405,0.002863958,0.001814039,0.001700421,0.019796165
17-jun-96,0.001212477,0.070957419,0.003369936,0.001819919,0.001713527,0.021463923
18-jun-96,0.001245473,0.063567958,0.00626626,0.001722675,0.001667693,0.021461141
19-jun-96,0.00131364,0.058430608,0.005595026,0.002312038,0.001544355,0.02420414
20-jun-96,0.001223353,0.055455446,0.005022189,0.002197126,0.001435134,0.023221332
21-jun-96,0.00116873,0.046610791,0.006574875,0.001982101,0.001466961,0.021981024
24-jun-96,0.001091671,0.035341889,0.006936198,0.002272893,0.001686284,0.016712124
25-jun-96,0.001062941,0.031382929,0.007256817,0.002074259,0.002584787,0.014682175
26-jun-96,0.001041469,0.027684495,0.007290346,0.002131427,0.002349144,0.014777638
27-jun-96,0.00107814,0.027883677,0.006654513,0.002095749,0.002165076,0.018401212
