Date,Open,High,Low,Close,AdjClose,Volume,Rf,Ret_m_Rf_dvdy
05/01/96,617.700012,617.700012,612.02002,616.710022,616.710022,437110000,0.019,-0.001678679
08/01/96,616.710022,618.460022,616.48999,618.460022,618.460022,130360000,0.019,0.00275893
09/01/96,618.460022,619.150024,608.210022,609.450012,609.450012,417400000,0.019,-0.014750311
10/01/96,609.450012,609.450012,597.289978,598.47998,598.47998,496830000,0.019,-0.018238546
11/01/96,598.47998,602.710022,597.539978,602.690002,602.690002,408800000,0.019,0.006935208
12/01/96,602.690002,604.799988,597.460022,601.809998,601.809998,383400000,0.019,-0.001535884
15/01/96,601.809998,603.429993,598.469971,599.820007,599.820007,306180000,0.019,-0.003386845
16/01/96,599.820007,608.440002,599.049988,608.440002,608.440002,425220000,0.019,0.014193996
17/01/96,608.440002,609.929993,604.700012,606.369995,606.369995,458720000,0.019,-0.003482645
18/01/96,606.369995,608.27002,604.119995,608.23999,608.23999,450410000,0.019,0.003004482
19/01/96,608.23999,612.919983,606.76001,611.830017,611.830017,497720000,0.019,0.00581028
22/01/96,611.830017,613.450012,610.950012,613.400024,613.400024,398040000,0.019,0.002488107
23/01/96,613.400024,613.400024,610.650024,612.789978,612.789978,416910000,0.019,-0.001069716
24/01/96,612.789978,619.960022,612.789978,619.960022,619.960022,476380000,0.019,0.011558042
25/01/96,619.960022,620.150024,616.619995,617.030029,617.030029,453270000,0.019,-0.004811993
26/01/96,617.030029,621.700012,615.26001,621.619995,621.619995,385700000,0.019,0.007336584
29/01/96,621.619995,624.219971,621.419983,624.219971,624.219971,363330000,0.019,0.004099169
30/01/96,624.219971,630.289978,624.219971,630.150024,630.150024,464350000,0.019,0.009380411
31/01/96,630.150024,636.179993,629.47998,636.02002,636.02002,472210000,0.019,0.009197427
01/02/96,636.02002,638.460022,634.539978,638.460022,638.460022,461430000,0.02,0.003750438
02/02/96,638.460022,639.26001,634.289978,635.840027,635.840027,420020000,0.02,-0.004190641
05/02/96,635.840027,641.429993,633.710022,641.429993,641.429993,377760000,0.02,0.008674464
06/02/96,641.429993,646.669983,639.679993,646.330017,646.330017,465940000,0.02,0.007531606
07/02/96,646.330017,649.929993,645.590027,649.929993,649.929993,462730000,0.02,0.005475837
08/02/96,649.929993,656.539978,647.929993,656.070007,656.070007,474970000,0.02,0.009324265
09/02/96,656.070007,661.080017,653.640015,656.369995,656.369995,477640000,0.02,0.000378564
12/02/96,656.369995,662.950012,656.340027,661.450012,661.450012,397890000,0.02,0.007631184
13/02/96,661.450012,664.22998,657.919983,660.51001,660.51001,441540000,0.02,-0.001500716
14/02/96,660.51001,661.530029,654.359985,655.580017,655.580017,421790000,0.02,-0.007570495
15/02/96,655.580017,656.840027,651.150024,651.320007,651.320007,415320000,0.02,-0.006597864
16/02/96,651.320007,651.419983,646.98999,647.97998,647.97998,445570000,0.02,-0.005219865
20/02/96,647.97998,647.97998,638.789978,640.650024,640.650024,395910000,0.02,-0.011455059
21/02/96,640.650024,648.109985,640.650024,648.099976,648.099976,431220000,0.02,0.011483063
22/02/96,648.099976,659.75,648.099976,658.859985,658.859985,485470000,0.02,0.016387496
23/02/96,658.859985,663,652.25,659.080017,659.080017,443130000,0.02,0.000255321
26/02/96,659.080017,659.080017,650.159973,650.460022,650.460022,399330000,0.02,-0.013243692
27/02/96,650.460022,650.619995,643.869995,647.23999,647.23999,431340000,0.02,-0.005041267
28/02/96,647.23999,654.390015,643.98999,644.75,644.75,447790000,0.02,-0.00393309
29/02/96,644.75,646.950012,639.01001,640.429993,640.429993,453170000,0.02,-0.006801412
01/03/96,640.429993,644.380005,635,644.369995,644.369995,471480000,0.019,0.006058583
04/03/96,644.369995,653.539978,644.369995,650.809998,650.809998,417270000,0.019,0.009869961
05/03/96,650.809998,655.799988,648.77002,655.789978,655.789978,445700000,0.019,0.007548155
06/03/96,655.789978,656.969971,651.609985,652,652,428220000,0.019,-0.00587071
07/03/96,652,653.650024,649.539978,653.650024,653.650024,425790000,0.019,0.002452825
08/03/96,653.650024,653.650024,627.630005,633.5,633.5,546550000,0.019,-0.031386766
11/03/96,633.5,640.409973,629.950012,640.02002,640.02002,449500000,0.019,0.010164768
12/03/96,640.02002,640.02002,628.820007,637.090027,637.090027,454980000,0.019,-0.004663171
13/03/96,637.090027,640.52002,635.190002,638.549988,638.549988,413030000,0.019,0.002214297
14/03/96,638.549988,644.169983,638.549988,640.869995,640.869995,492630000,0.019,0.003551969
15/03/96,640.869995,642.869995,638.349976,641.429993,641.429993,529970000,0.019,0.000798738
18/03/96,641.429993,652.650024,641.429993,652.650024,652.650024,437100000,0.019,0.017266297
19/03/96,652.650024,656.179993,649.799988,651.690002,651.690002,438300000,0.019,-0.001546732
20/03/96,651.690002,653.130005,645.570007,649.97998,649.97998,409780000,0.019,-0.002702119
21/03/96,649.97998,651.539978,648.099976,649.190002,649.190002,367180000,0.019,-0.001290817
22/03/96,649.190002,652.080017,649.190002,650.619995,650.619995,329390000,0.019,0.002125622
25/03/96,650.619995,655.5,648.820007,650.039978,650.039978,336700000,0.019,-0.000966571
26/03/96,650.039978,654.309998,648.150024,652.969971,652.969971,400090000,0.019,0.004422587
27/03/96,652.969971,653.940002,647.599976,648.909973,648.909973,406280000,0.019,-0.006311841
28/03/96,648.909973,649.580017,646.359985,648.940002,648.940002,370750000,0.019,-2.84E-05
29/03/96,648.940002,650.960022,644.890015,645.5,645.5,413510000,0.019,-0.005389745
01/04/96,645.5,653.869995,645.5,653.72998,653.72998,392120000,0.022,0.012582826
02/04/96,653.72998,655.27002,652.809998,655.26001,655.26001,406640000,0.022,0.002251372
03/04/96,655.26001,655.890015,651.809998,655.880005,655.880005,386620000,0.022,0.000859379
