Dates,beta_1,beta_2,beta_3,beta_4,beta_5
15-Apr-1996,0.150194618,0.007421412,0.191571991,-0.023062066,0.003453277
16-Apr-1996,0.147328051,0.006353856,0.193212558,-0.020777999,0.003212531
17-Apr-1996,0.146977782,0.012703192,0.193422457,-0.019435203,0.002593905
18-Apr-1996,0.147629643,0.00661576,0.195511209,-0.017418156,0.000660696
19-Apr-1996,0.148481756,-0.014193659,0.198649355,-0.018513128,0.000671823
22-Apr-1996,0.146385947,-0.014517542,0.195675462,-0.021471001,-0.000401094
23-Apr-1996,0.147068323,-0.021211622,0.192772159,-0.021900538,-0.002297423
24-Apr-1996,0.146127392,-0.016076563,0.198294621,-0.020975834,-0.000399218
25-Apr-1996,0.145576881,-0.019065958,0.200344023,-0.018457704,-0.0012796
26-Apr-1996,0.145917002,-0.021212247,0.199365863,-0.018751044,-0.003432009
29-Apr-1996,0.14371801,-0.00719251,0.205335536,-0.018012983,-0.002933281
30-Apr-1996,0.140861625,0.004961809,0.207402083,-0.016433979,-0.00222677
01-may-96,0.139889847,0.00962859,0.204504822,-0.015707044,-0.004157331
02-may-96,0.142888375,0.029691888,0.204671496,-0.020451016,-0.003648496
03-may-96,0.145656381,0.005341688,0.206548366,-0.020284147,-0.000772931
06-may-96,0.147179902,0.006793351,0.205071011,-0.01930519,-0.000814222
07-may-96,0.147706286,0.009022645,0.207573585,-0.015063448,0.001146654
08-may-96,0.146040324,-0.000380329,0.202962751,-0.011905556,-0.001731222
09-may-96,0.144710138,0.011658339,0.20547723,-0.011553273,-0.001813358
10-may-96,0.14542776,-0.009386613,0.202414795,-0.012519564,-0.00360611
13-may-96,0.14333084,-0.010858259,0.199960658,-0.011321321,-0.005537389
14-may-96,0.141001315,-0.009686469,0.200710221,-0.013526142,-0.007241197
15-may-96,0.141537423,-0.003272287,0.200087913,-0.012289933,-0.008048773
16-may-96,0.140833795,0.000360894,0.199634137,-0.012025831,-0.008494167
17-may-96,0.141020584,-0.008619598,0.197403598,-0.016584348,-0.010641958
20-may-96,0.138358386,0.00432111,0.196769417,-0.019662776,-0.0120761
21-may-96,0.138995804,0.00954692,0.193827387,-0.022880953,-0.018783376
22-may-96,0.137841859,0.001684632,0.195842227,-0.026859161,-0.020888863
23-may-96,0.140023788,0.008045625,0.19563629,-0.023773099,-0.020828636
24-may-96,0.142088504,-0.003098409,0.197627456,-0.021536276,-0.022567737
28-may-96,0.140038284,0.023026196,0.20017808,-0.015919897,-0.020737188
29-may-96,0.145425408,0.015964406,0.206728026,-0.016389409,-0.019269629
30-may-96,0.148038969,-0.005740964,0.208367732,-0.014661667,-0.019980856
